marque,modele,annee,sous_modele,version,prix,consommation,moteur,puissance,transmission,carrosserie,portes,places,url
Acura,ILX,2017,Base,Premium,32190,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2017/base/premium/
Acura,ILX,2017,Base,Tech,33690,9.3 (Automatique ville) / 6.6 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2017/base/tech/
Acura,ILX,2018,Base,A-Spec,35390,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2018/base/a-spec/
Acura,ILX,2018,Base,Base,29990,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2018/base/base/
Acura,ILX,2018,Base,Premium,32490,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2018/base/premium/
Acura,ILX,2018,Base,Tech,33990,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2018/base/tech/
Acura,ILX,2019,Base,Base,29990,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2019/base/base/
Acura,ILX,2019,Base,Premium,32490,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2019/base/premium/
Acura,ILX,2019,Base,Premium A-Spec,33990,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2019/base/premium-a-spec/
Acura,ILX,2019,Base,Tech A-Spec,35390,9.4 (Automatique ville) / 6.8 (Automatique autoroute),L4 2.4L DACT 16 soupapes,201 cv @                                                     6800 rpm,Manuelle,Sedan,4,5,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/ilx/2019/base/tech-a-spec/
Acura,MDX,2001,Base,Base,47000,13.8 (Automatique ville) / 10.2 (Automatique autoroute),V6 3.5 L SACT 24 soupapes,240 cv @                                                     5300 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2001/base/base/
Acura,MDX,2002,Base,Base,48000,13.8 (Automatique ville) / 10.2 (Automatique autoroute),V6 3.5L DACT 24 soupapes,240 cv @                                                     5300 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2002/base/base/
Acura,MDX,2003,Base,Base,49800,14.1 (Automatique ville) / 9.4 (Automatique autoroute),V6 3.5L SACT 24 soupapes VTEC,260 cv @                                                     5750 rpm,Automatique,SUV,5,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2003/base/base/
Acura,MDX,2003,Base,Touring,38300,17 (Automatique ville) / 23 (Automatique autoroute),V6 3.5L SACT 24 soupapes VTEC,260 cv @                                                     5750 rpm,Automatique,SUV,4,8,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2003/base/touring/
Acura,MDX,2004,Base,Base,50300,13.8 (Automatique ville) / 10.2 (Automatique autoroute),V6 3.5L SACT 24 soupapes,265 cv @                                                     5800 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2004/base/base/
Acura,MDX,2005,Base,Base,50800,N/O,V6 3.5L SACT 24 soupapes,265 cv @                                                     5800 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2005/base/base/
Acura,MDX,2006,Base,Base,51600,N/O,V6 3.5L SACT 24 soupapes,253 cv @                                                     5800 rpm,Automatique,SUV,4,7,https://www.auto123.com/fr/vehicules-neufs/caracteristiques/acura/mdx/2006/base/base/
